"RI=1840.5,  22.4698 min MOSS-6",0.911,0.924,1.39,0.354,0.418,0.336,0.656,0.515,0.606,2.71,2.27,2.73,2.53,1.67,1.07,0.86,0.831,0.497,0.0864,0.00826,0.0593,1.16,4.75,0.928,1.64,0.733,1.12,0.499,0.21
"RI=2019.7,  23.9423 min MOSS-2-14",,,,,,,,,,,,,,,,0.00632,,,,,,,,,,,0.00602,0.0071,
"RI=2401.7,  29.5064 min MOSS-2-13",0.184,0.0889,0.0958,0.0924,0.0943,0.0947,0.0902,0.0879,0.0863,0.0867,0.097,0.0877,0.0883,0.117,0.0888,0.082,0.0847,0.084,0.0848,0.0834,0.087,0.0793,0.0879,0.0832,0.0837,0.0861,0.0744,0.0809,0.0693
"RI=2470.6,  30.3786 min MOSS-4",,,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2470.9,  30.3820 min MOSS-4",,0.156,0.0412,0.0837,0.0124,0.101,0.148,0.011,0.0202,0.0278,0.0494,0.111,0.0174,0.303,0.0344,,0.0131,0.0189,0.0491,0.0115,0.015,,0.0531,,0.0177,,,,
"RI=2519.4,  30.9900 min MOSS-4",,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2540.2,  31.2509 min MOSS-4",,,0.0789,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2549.0,  31.3615 min MOSS-4",,,,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2552.3,  31.4035 min MOSS-4",,0.0434,0.084,0.0454,0.0165,0.0275,0.0692,0.0283,0.0449,0.0432,0.0405,0.0611,0.136,0.148,0.0677,0.0111,0.0226,0.016,0.161,0.0257,0.0836,,0.0772,,0.0166,,,0.0082,
"RI=2554.7,  31.4333 min MOSS-4",,0.00313,0.00674,0.00697,,0.00289,0.00478,,,,,0.00604,,,,,,0.00216,,,,,,,0.00268,0.00376,,,
"RI=2567.3,  31.5914 min MOSS-4",,,0.03,0.0245,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2582.8,  31.8756 min MOSS-2-19",,,,,,,,,,,,,,0.00683,,,,,,,,,,,,,,,
"RI=2603.5,  32.0458 min MOSS-4",,,0.0372,0.0223,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2622.7,  32.2868 min MOSS-4",,,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2630.1,  32.3796 min MOSS-4",,,0.0724,0.0196,,,,,,,0.0193,,,,,,,,,,,,,,,,,,
"RI=2642.2,  32.5311 min MOSS-4",,,,0.0251,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=2650.0,  32.7036 min MOSS-2-19",,0.0157,,,,,0.00489,0.0962,,,,,,0.0167,,0.0799,0.0169,,0.0172,,,,,,,,,,
"RI=2669.6,  32.8749 min MOSS-4",,,0.0702,0.0407,,,,,,,0.0285,,,,,,,,,,,,,,,,,,
"RI=2705.4,  33.3769 min MOSS-2-19",,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,
"RI=2705.9,  33.3835 min MOSS-2-19",,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,
"RI=2706.5,  33.3901 min MOSS-2-19",,,,,,,,,,,,3.99,,8.32,,,,,,,,,,,,,,,
